name,Price,score_with_difficulty,minutes,pos
Antoine Griezmann,7000000.0,0.5685109723714047,670,FW
Harry Kane,9000000.0,0.5466904015190306,605,FW
Randal Kolo Muani,4500000.0,0.46461394226306507,416,FW
Yannick Carrasco,4000000.0,0.3608455795940171,562,MF
Adrien Rabiot,4000000.0,0.33738157894736837,504,MF
Arthur Theate,3500000.0,0.25195815633945884,681,DF
Dodi Lukebakio,3500000.0,0.20731050506741155,241,"FW,MF"
Timothy Castagne,3500000.0,0.20142469840500302,695,DF
Mikel Merino,3500000.0,0.18421492269635129,370,MF
Giovanni Di Lorenzo,4000000.0,0.1781785599226804,495,DF
Koen Casteels,4500000.0,0.007769634776987717,270,GK
